_key,appid,name,developer,publisher,soma,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu,,,
893030,893030,Music Racer,AbstractArt,AbstractArt,3486,3094,392,0,"200,000 .. 500,000",243,0,259,0,199,199,0,5,,,
1271700,1271700,HOT WHEELS UNLEASHED,Milestone S.r.l.,Milestone S.r.l.,3486,2809,677,0,"100,000 .. 200,000",827,293,759,293,4999,4999,0,104,,,
461430,461430,EmergeNYC,FlipSwitch Games,FlipSwitch Games,3471,2260,1211,0,"100,000 .. 200,000",232,123,232,123,2499,2499,0,40,0,0,
220820,220820,Zombie Driver HD,Exor Studios,Exor Studios,3450,2863,587,0,"200,000 .. 500,000",106,1,70,1,999,999,0,4,,,
22230,22230,Rock of Ages,ACE Team,SEGA,3420,3124,296,0,"200,000 .. 500,000",162,0,93,0,999,999,0,4,,,
291010,291010,The Hat Man: Shadow Ward,Game Mechanics LLC,Big Fish Games,3414,2263,1151,0,"200,000 .. 500,000",195,0,194,0,999,999,0,1,,,
412880,412880,Drift Streets Japan,JDM4iK Games,SA Industry,3377,2180,1197,0,"500,000 .. 1,000,000",1039,0,259,0,49,199,75,223,,,
292410,292410,Street Racing Syndicate,Eutechnyx,Funbox Media Ltd,3347,2798,549,0,"500,000 .. 1,000,000",176,116,154,116,74,299,75,23,,,
443110,443110,Armored Warfare,Obsidian Entertainment,META Publishing,3332,2287,1045,0,"500,000 .. 1,000,000",281,0,170,0,0,0,0,213,,,
201510,201510,Flatout 3: Chaos & Destruction,Team 6 Studios,Strategy First,3142,500,2642,0,"100,000 .. 200,000",109,0,30,0,99,999,90,1,,,
55140,55140,MX vs. ATV Reflex,"Double Helix Games, Rainbow Studios, THQ Nordic",THQ Nordic,3138,2706,432,0,"200,000 .. 500,000",259,0,123,0,1999,1999,0,44,,,
497180,497180,Street Legal Racing: Redline v2.3.1,"Invictus Games Ltd., ImageCode","Activision Value Inc., ImageCode",3124,2704,420,0,"200,000 .. 500,000",569,0,657,0,599,599,0,36,,,
